end_device_experiment_id;end_device_run_id;direction;sending_date;target_speed;end_device_id;sequence_number;algorithm_on;transmission_successful;end_device_gps_mode;end_device_longitude;end_device_epx;end_device_latitude;end_device_epy;end_device_altitude;end_device_epv;end_device_speed;end_device_eps;central_frequency;bandwidth;transmitting_power;spreading_factor;coding_rate;payload;payload_size;gateway_experiment_id;gateway_run_id;gateway_id;gateway_date;gateway_longitude;gateway_latitude;gateway_altitude;modulation;crc_test;rssi;snr_average;snr_minimum;snr_maximum;snr_correction;rf_chain;if_chain;receiving_timestamp;receiving_time;modem_id;rx_max_bin_pos;crc_value
1;1;1;2018-04-20 21:01:04;2;1;16;1;1;3;5.167115000;2.230000000;51.061966667;4.5700;18.2000;4.4280;1.4250;9.1400;868.1;125;-3;10;4;aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa00021015;64;1;1;aa00aa00aa00aa00;;5.162560000;51.064580000;46.000000000;LORA;1;-89.000;6.800;4.500;10.500;;0;0;1399881132;;7;837;da77
1;1;1;2018-04-20 21:01:00;2;1;16;0;1;3;5.167065000;2.230000000;51.062003333;4.5700;18.2000;4.4280;1.2500;9.1400;868.1;125;15;12;4;aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa00020017;64;1;1;aa00aa00aa00aa00;;5.162560000;51.064580000;46.000000000;LORA;1;-77.000;7.200;2.800;12.200;;0;0;1398799716;;7;3522;d867
1;1;1;2018-04-20 21:01:19;2;1;17;1;1;3;5.167313333;2.230000000;51.061826667;4.5700;18.5000;4.5430;1.3840;9.1400;868.1;125;-3;10;4;aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa00023015;64;1;1;aa00aa00aa00aa00;;5.162560000;51.064580000;46.000000000;LORA;1;-90.000;7.200;3.200;11.000;;0;0;1414879772;;7;723;da57
1;1;1;2018-04-20 21:01:15;2;1;17;0;1;3;5.167260000;2.230000000;51.061865000;4.5700;18.4000;4.5430;1.3630;9.1400;868.1;125;15;12;4;aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa00022017;64;1;1;aa00aa00aa00aa00;;5.162560000;51.064580000;46.000000000;LORA;1;-72.000;7.000;1.500;11.800;;0;0;1413800740;;7;2681;d847
1;1;1;2018-04-20 21:01:34;2;1;18;1;1;3;5.167500000;2.230000000;51.061683333;4.5700;18.4000;4.5430;1.3790;9.1400;868.1;125;-3;10;4;aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa00025015;64;1;1;aa00aa00aa00aa00;;5.162560000;51.064580000;46.000000000;LORA;1;-91.000;8.000;3.200;11.000;;0;0;1429886516;;7;598;da37
1;1;1;2018-04-20 21:01:30;2;1;18;0;1;3;5.167450000;2.230000000;51.061721667;4.5700;18.4000;4.5430;1.3990;9.1400;868.1;125;15;12;4;aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa00024017;64;1;1;aa00aa00aa00aa00;;5.162560000;51.064580000;46.000000000;LORA;1;-71.000;7.800;2.000;11.500;;0;0;1428803620;;7;2073;d827
1;1;1;2018-04-20 21:01:49;2;1;19;1;1;3;5.167670000;2.230000000;51.061535000;4.5700;18.4000;4.6000;1.3630;9.1400;868.1;125;-3;10;4;aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa00027015;64;1;1;aa00aa00aa00aa00;;5.162560000;51.064580000;46.000000000;LORA;1;-89.000;7.200;4.800;10.500;;0;0;1444881404;;7;15;da17
1;1;1;2018-04-20 21:01:45;2;1;19;0;1;3;5.167616667;2.230000000;51.061573333;4.5700;18.3000;4.6000;1.3630;9.1400;868.1;125;15;12;4;aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa00026017;64;1;1;aa00aa00aa00aa00;;5.162560000;51.064580000;46.000000000;LORA;1;-71.000;7.800;3.200;12.000;;0;0;1443802284;;7;938;d807
1;1;1;2018-04-20 21:02:04;2;1;20;1;1;3;5.167866667;2.230000000;51.061391667;4.5700;18.3000;4.6000;1.4250;9.1400;868.1;125;-3;10;4;aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa00029015;64;1;1;aa00aa00aa00aa00;;5.162560000;51.064580000;46.000000000;LORA;1;-97.000;7.200;3.500;10.200;;0;0;1459885556;;7;590;daf7
1;1;1;2018-04-20 21:02:00;2;1;20;0;1;3;5.167813333;2.230000000;51.061430000;4.5700;18.4000;4.6000;1.3940;9.1400;868.1;125;15;12;4;aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa00028017;64;1;1;aa00aa00aa00aa00;;5.162560000;51.064580000;46.000000000;LORA;1;-76.000;8.200;3.200;12.200;;0;0;1458805588;;7;383;d8e7
1;1;1;2018-04-20 21:02:19;2;1;21;1;1;3;5.168061667;2.230000000;51.061248333;4.5700;18.1000;4.6000;1.3740;9.1400;868.1;125;-3;10;4;aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa0002b015;64;1;1;aa00aa00aa00aa00;;5.162550000;51.064580000;46.000000000;LORA;1;-98.000;6.500;-2.500;10.200;;0;0;1474882900;;7;315;dad7
1;1;1;2018-04-20 21:02:15;2;1;21;0;1;3;5.168008333;2.230000000;51.061286667;4.5700;18.2000;4.6000;1.4200;9.1400;868.1;125;15;12;4;aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa0002a017;64;1;1;aa00aa00aa00aa00;;5.162550000;51.064580000;46.000000000;LORA;1;-81.000;7.500;2.800;12.200;;0;0;1473803804;;7;3288;d8c7
1;1;1;2018-04-20 21:02:34;2;1;22;1;1;3;5.168258333;2.230000000;51.061110000;4.5700;18.3000;4.6000;1.3630;9.1400;868.1;125;-3;10;4;aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa0002d015;64;1;1;aa00aa00aa00aa00;;5.162550000;51.064580000;46.000000000;LORA;1;-88.000;7.800;5.000;10.800;;0;0;1489883876;;7;492;dab7
